Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Full Description,Twitter,Facebook,LinkedIn,Primary Job Title,Primary Organization,Investor Type,Investment Stage,CB Rank (Investor)
Anshum Gupta,https://www.crunchbase.com/person/anshum-gupta,,,"San Francisco, California, United States",Anshum Gupta joined Apple as Software Engineer - Search in 2017.,http://twitter.com/anshumgupta,,http://www.linkedin.com/in/anshumgupta,Software Engineer - Search,Apple,,,"111,853"
Apoorva Mehta,https://www.crunchbase.com/person/apoorva-mehta,3,,"San Francisco, California, United States","Apoorva Mehta is founder and Executive Chairman of the Board of Instacart, the fast-growing [retail delivery](http://www.instacart.com/) service whose workers hand pick and deliver items from trusted local stores. Originally launched in San Francisco and since expanded into many other cities, Instacart has fundamentally changed the traditional [grocery delivery](http://www.instacart.com/) space by connecting customers with shoppers and drivers who shop for and deliver groceries and other items in as little as one hour. In January 2015, Instacart was named [“America’s Most Promising Company.""](http://www.forbes.com/sites/briansolomon/2015/01/21/americas-most-promising-company-instacart-the-2-billion-grocery-delivery-app/) An engineering graduate of the University of Waterloo, Apoorva worked as a design engineer at Blackberry and Qualcomm, then joined Amazon.com as a supply chain engineer before founding Instacart in 2012.",http://twitter.com/Apoorva_Mehta,,http://www.linkedin.com/in/apoorvamehta,Founder & Chairman,Instacart,Individual/Angel,,"73,252"
Arjun Shetty,https://www.crunchbase.com/person/arjun-shetty,1,,"Chennai, Tamil Nadu, India","Prior to founding BankBazaar.com, Arjun worked at Amazon.com in Seattle and managed the Amazon.com Visa Card program. He developed an online account acquisition strategy that made the program into one of the world's largest co-branded credit card programs. He was also a key contributor to the success of Amazon's international co-branded credit card programs. Earlier in his career, Arjun learned all about the economics of customer acquisition and the credit card industry while working for Capital One. Arjun has a Masters degree in Operations Research from the Georgia Institute of Technology and a Bachelors degree in Engineering from the College of Engineering Guindy Anna University.",,,https://www.linkedin.com/in/arjunshetty/,COO,BankBazaar.com,Individual/Angel,,"121,825"
Ashish Aggarwal,https://www.crunchbase.com/person/ashish-aggarwal-c282,,,"San Francisco Bay Area, California, United States","Ashish Aggarwal is a Co-Founder and serves as the Chief Technology Officer at Productiv.Prior to founding Productive, he was the Vice President of Engineering at Postmates where he built and led a team of over 130 engineers to develop technology for the food delivery marketplace. He also served as the Director of Software Development at Amazon where he helped build and launch Amazon's Line Haul Freight Transportation Network.",,,https://www.linkedin.com/in/mrashishaggarwal,"Founder, CTO",Productiv,,,"69,512"
Ashish Gupta,https://www.crunchbase.com/person/ashish-gupta-b17420fc,17,3,"Bengaluru, Karnataka, India","Ashish Gupta seeks unexplored problem spaces to grow large companies from seed.  His career spans “firsts” that include unstructured data aggregation (Junglee), BPOs (Daksh, acquired by IBM), online travel in India (MMYT), and an Indian venture fund (Helion). At Drishti (the first AI to empower factory workers instead of displacing them), he is a part-time co-founder and active board member guiding the team on a journey he’s traveled before.",,,https://www.linkedin.com/in/ashish-gupta-9632571,Co- Founder,Drishti,"Investment Partner, Individual/Angel",Seed,"11,343"
Asif Keshodia,https://www.crunchbase.com/person/asif-keshodia,8,,"Dubai, Dubai, United Arab Emirates","Asif Keshodia is an Angel Investor based in Dubai, UAE and the co-founder of Storfox.com. He is most notable for his work as the Group CFO of Souq.com, which was acquired by Amazon in a milestone deal for the Middle East tech sector. He joined Souq in 2011 as an early stage investor and raised over $400m to help it become the leading online retailer in the region. After its acquisition by Amazon in 2017, he took the role of MENA Regional Finance Director at Amazon.  Asif has over 20 years of experience with some of the world’s biggest names, such as PwC, Gillette, Procter & Gamble, and Amazon, in countries around the world, including the UK, South Africa, Russia, and Pakistan. He is now using his decades of multinational corporate experience to help usher small startups to big success. He is dedicated to aiding young entrepreneurs launch their projects, with sights currently set on bolstering the e-commerce ecosystem in the MENA region and South Asia’s burgeoning market. In the recent past Asif has served on the Boards of Souq, Payfort.com, and Instashop.com, recently acquired by the Delivery Hero. He has also invested in a number of fledgling startups including Shipox, Clicky.pk, EzHire  and Cartlow.com Asif is a graduate of the University of Karachi with a Bachelor’s Degree in Commerce & Economics and a Chartered Accountant (FCA). In 2016, he was named Best Retail CFO of the MENA Region by renowned Middle Eastern publication, The CFO.",https://www.prnewswire.com/ae/news-releases/grubtech-secures-3-4-million-to-expand-its-cutting-edge-technology-for-cloud-kitchens-301243353.html,http://en-gb.facebook.com/asif.keshodia.5,https://www.linkedin.com/in/asif-keshodia-5261657,Co-Founder,zip24,Individual/Angel,Early Stage Venture,"23,906"
Avichal Garg,https://www.crunchbase.com/person/avichal-garg,58,8,"Stanford, California, United States","Avichal is Managing Partner at Electric Capital. He is a serial entrepreneur and technology executive. Avichal sold two companies and was most recently Director of Product at Facebook, which acquired his company Spool in 2012. He previously worked at Google on search ranking and ads ranking, is part-time at YCombinator, and an active angel investor. Avichal's firm, Electric Capital, focuses on cryptocurrencies that are rooted in technological utility. Electric performs deep technological diligence, such as compiling code, profiling nodes, and analyzing blockchains with in-house software. The founders of Electric have started and sold five companies, have been investing in cryptocurrencies since 2013, and are investors in Anchor, Bitwise, Chia, Coda, dYdX, Dfinity, Oasis, Thunder and many other crypto projects. ",http://twitter.com/avichal,http://www.facebook.com/avichal,http://www.linkedin.com/in/avichalgarg,Managing Partner,Electric Capital,"Investment Partner, Individual/Angel",Seed,"9,393"
Baris Cetinok,https://www.crunchbase.com/person/baris-cetinok,,,"Los Altos, California, United States",,http://twitter.com/cetinok,,https://www.linkedin.com/in/cetinok,"Senior Director, Product Management & Marketing",Apple,,,"72,710"
Bart Swanson,https://www.crunchbase.com/person/bart-swanson,14,2,"New York, New York, United States","Bart helps companies scale globally and has been active in the technology sector for more than fifteen years as an entrepreneur, mentor, and executive.  Previously he was the Chairman of Summly (sold to Yahoo), COO at Badoo, an MD International at GSI Commerce (sold to eBay), a GM at Amazon.com (helping lead the international expansion from 1998-2001), and was an MD at EMI Music Europe. Bart received an MBA from The Wharton School, an MA in International Studies from the University of Pennsylvania, was a Fellow at the Lauder Institute, and has a BA in History from the University of Southern California.",,,http://www.linkedin.com/in/bartswanson,Advisor,Horizons Ventures,"Investment Partner, Individual/Angel","Convertible Note, Late Stage Venture, Seed","2,531"
Benjamin Djidi,https://www.crunchbase.com/person/benjamin-djidi,,,"Munich, Bayern, Germany",,http://twitter.com/BDjidi,http://www.facebook.com/benjamin.djidi,http://www.linkedin.com/in/benjamindjidi,Senior Engineering Manager,Sixt Rental Cars,,,"119,003"
Binny Bansal,https://www.crunchbase.com/person/binny-bansal,64,4,"Bengaluru, Karnataka, India",Binny Bansal is an Indian software engineer and Internet entrepreneur. In 2007 he co-founded the e-commerce platform Flipkart with Sachin Bansal (not related) and was serving as the Chief Operating Officer until 11 January 2016 and was promoted to Chief Executive Officer. In January 2017 he was promoted to Group CEO of Flipkart. Binny is from Chandigarh and graduated from the Indian Institute of Technology Delhi with a degree in Computer Science and Engineering.,https://twitter.com/binnybansal,https://www.facebook.com/AmanBansalcanada,http://www.linkedin.com/in/binnybansal,CO-FOUNDER & EXECUTIVE CHAIRMAN,xto10x Technologies,"Investment Partner, Individual/Angel",Seed,"6,592"
Brandon Watson,https://www.crunchbase.com/person/brandon-watson-bcac,,,"Boulder, Colorado, United States","Brandon graduated Cum Laude from the Management & Technology program at the University of Pennsylvania, with a Bachelor of Science of Economics from the Wharton School with concentrations in Operations and Information Management, and Corporate Finance, as well as a Bachelor of Applied Science in Systems Science Engineering. He also holds a Masters of Business Administration from the Wharton School of Business. He has held executive leadership positions at Microsoft, Amazon, Datalogix, and Oracle. He also founded and sold IMSafer, a consumer internet software company, and was a Principal at Soros Private Equity Partners. Brandon currently sits on the board of StudyKik. Brandon lives in Boulder, CO, with his wife and three children, and is an avid endurance athlete. Brandon actively invests in the Automotive, Business Services, Environmental Services, Healthcare Services, and Light Manufacturing verticals.",http://www.twitter.com/brandonwatson,http://www.facebook.com/brandonwatson,http://www.linkedin.com/in/brandonwatson,FounderFounder,Kinderhook Industries,Investment Partner,,"39,343"
Brett Turner,https://www.crunchbase.com/person/brett-turner,1,,"San Diego, California, United States","Experienced executive with over 20 years in public & private high-growth technology companies. For the past 12 years, I've developed a strong track record for building, financing, and growing technology startups through the early stage to successful exit. I've raised $100M in equity and debt for nearly $500M in value creation for investors on my last 3 startups as follows: > World Wide Packets / $300M GS-lead exit to Ciena in 2008 / VP Finance, telecom; > Demand Energy / $42M exit to Enel in 2016 / Co-Founder & COO / energy storage; > 2nd Watch / $135M and growing / Co-Founder & CFO / enterprise IT in AWS",https://twitter.com/brett2430,,https://www.linkedin.com/in/brett-turner,Founder & CEO,Trovata,Individual/Angel,Seed,"59,605"
Brian Lent,https://www.crunchbase.com/person/brian-lent,,,"Seattle, Washington, United States","Brian Lent is a data science pioneer who has been at the forefront of data mining, machine learning, forward-thinking analytics, and leading-edge AI technology for over three decades.  As the Co-Founder and CEO of Plunk, Lent is embarking on a mission to build “the Bloomberg of residential real estate”—starting with the launch of Plunk as the first real-time home analytics platform. With a world-class team of data scientists and engineers, Lent is bringing advanced computer vision, AI, and ML algorithms to the world’s largest asset class—residential real estate.  Prior to Plunk, Lent founded the mobile cloud analytics company Medio Systems, supporting 440+ million consumers in over 100+ countries. In 2014, Medio Systems was acquired by Nokia (HERE Technologies), after which Lent was promoted to Chief Technology Officer. For the next four years, Lent lead a worldwide technology and R&D organization, and spearheaded the company’s primary technology roadmap and strategic direction, including product innovation, research, and multi-tiered mixed public cloud analytics technology.   Previous to HERE, Lent spent most of his career leading groundbreaking technology work for companies including IBM and Junglee, which was acquired by Amazon. At Amazon, Lent created the company’s first data mining group, formed its analytic infrastructure, and integrated Junglee’s recommendation engine into Amazon’s data-driven consumer experiences and predictive analytics system—which ultimately drives more than 30% of Amazon’s online sales.   Through an Amazon spin-off, Lent founded Intelligent Results, and applied similar real-time predictive analytics and Natural Language Processing (NLP) to the financial services industry—innovating an improved FICO score that raised predictive accuracy by 30% to 60% and becoming the new bar in evaluating consumer credit worthiness. Intelligent Results was acquired by First Data Corporation.  While earning his Masters and Ph.D. candidacy at Stanford University in Computer Science, in 1995, he co-founded ‘Mining Data at Stanford’ (MiDAS)—the research lab which incubated the Google crawler and search engine—with fellow student Sergey Brin. Prior to Stanford, he founded his first company Micro Revelations, an early pioneer of machine-learning based PC computer games, acquired by Electronic Arts.   A recipient of both the prestigious National Science Foundation and Department of Defense Office of Naval Research Graduate Fellowships, Lent is a key industry thought leader and author of numerous professional publications and patents. Lent was a member of the World Economic Forum in 2008-2009 as a technology visionary pioneer for innovations in mobile-device analytics, and currently serves on the Founding Board of the University of Washington Information School.",https://twitter.com/BrianLent1,,https://www.linkedin.com/in/brian-lent/,Co-Founder & Chief Executive Officer,Plunk,,"Early Stage Venture, Seed, Venture","49,568"
Brian Valentine,https://www.crunchbase.com/person/brian-valentine,1,,"Seattle, Washington, United States","Henry Brian Valentine (born November 28, 1959 in Centralia, Washington) is the Senior Vice President, Ecommerce Platform at Amazon.com. Previously he was a Senior Vice President of the Windows Core Operating System Division (COSD) at Microsoft where he was responsible for overseeing the development of core Windows technologies such as networking and the kernel. He was also the Executive primarily responsible for the development of Windows 2000 and Windows XP, and he held the same role for the majority of Windows Vista's development cycle. During the Windows 2000 and Windows XP development cycles, Brian would hold ""Windows Information Meetings"" (WIMs) in a large cafeteria, where he would encourage the team by telling jokes and reading excerpts from the Weekly World News, ""The Official Newspaper of the Windows 2000 team."" He would often end the meeting with the commands: ""Developers, fix bugs. Testers, find bugs. PM's and everybody else, stay the hell out of the way."" On August 1, 2006, Microsoft announced that Valentine would leave his post as head of COSD (many in the press speculated that this was largely tied to the failures of Windows Vista management) and pursue other opportunities within the company after the release of Vista, expected to happen in November 2006. Jon DeVaan, Senior Vice President of Engineering Excellence, would join the Platform division and eventually replace Valentine. On September 1, 2006, this transition was accelerated when Valentine left Microsoft to take a position at Amazon.com. Valentine holds a B.S. in Computer Science from Eastern Washington University.",,,https://www.linkedin.com/in/valentinebrian,"CEO, Board Member, Lead Investor",WISErg,Individual/Angel,Seed,"125,549"
Carlos Julio Garcia,https://www.crunchbase.com/person/carlos-julio-garcia,14,,"Mexico City, Distrito Federal, Mexico",,,,https://www.linkedin.com/in/carlosjuliogarciaottati/,Founder & CEO,Kavak,Individual/Angel,,"9,934"
Chris Pinel,https://www.crunchbase.com/person/chris-pinel,,,"Orange Park, Florida, United States","Chris Pinel is an award winning senior business executive with a successful track record spanning over 16+ years across media & marketing, business strategy, operational management, digital technology, sales leadership and entrepreneurial ventures. Over that time, Mr. Pinel has established a strong reputation for building intelligent, creative, and successful teams across a number of organizations large and small. To date these organizations have experienced exponential brand & revenue growth in excess of $1B+ and continue to flourish. His rich foundation and understanding of digital technology has enabled Chris to excel as a senior business leader and bring a balanced approach to establishing trusted + long-lasting partnerships with Fortune 100 brands + executives globally.  As a sought after subject matter expert, Chris is engaged in a number of domestic and international speaking events covering what's next technology, holds strategic advisory roles in numerous early ventures and is an active board advisor. Subject matter expertise not limited to however includes: esports , mobile marketing , digital media , blockchain , gaming , machine learning , video creative , consumer insights , early stage business operations , venture capital , diversity + inclusion.",https://signal.nfx.com/investors/chris-pinel,,https://www.linkedin.com/in/chrispinel,"Global Head of Agency, Americas",Liftoff,,"Convertible Note, Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture","55,026"
Christophe Le Houédec,https://www.crunchbase.com/person/christophe-le-houédec,,,"Paris, Ile-de-France, France",Christophe Le Houédec is the Co-founder and CEO at AyoLab. He attended MINES ParisTech.,,,https://www.linkedin.com/in/christophe-le-houedec/,Co-founder and CEO,Ayolab,,,"106,778"
Christopher North,https://www.crunchbase.com/person/christopher-north,15,1,"London, England, United Kingdom","Chris is a Managing Partner at L Catterton, the world's leading consumer growth investor with US$20B assets under management, where he co-leads the Growth Fund.  He focuses on growth-stage consumer technology businesses in the US, Europe, and the UK.  The L Catterton team previously scaled today's consumer tech leaders (Amazon, Shopify, Lazada, Shutterfly, Peloton, Vroom, Better Mortgage, ClassPass, and more) and brings their experience to support entrepreneurs building tomorrow's leading companies. He is also an active angel investor and serves on the boards of several non-profits in arts and education.  Previously, Chris led Shutterfly, Inc. (NASDAQ: SFLY) as President and Chief Executive Officer and a member of the board of directors from May 2016 through the sale to Apollo Global Management in 2019. Under his leadership, over the three years from 2015 to 2018, Shutterfly doubled revenues to $2 billion, doubled free cash flow, and increased operating income ten-fold. Prior to joining Shutterfly, Chris served as Managing Director of Amazon UK and co-led Amazon across Europe for six years, after leading Amazon’s UK Media businesses for four years.  Amazon UK grew to almost $10 billion in GAAP revenue over this 10-year period, a 14-fold increase. Before joining Amazon, he worked in publishing as Global Managing Director of Phaidon Press, as Chief Operating Officer of HarperCollins Canada, and as Vice President & General Manager of Electronic Publishing for HarperCollins Publishers. He began his career as a management consultant with the media & entertainment practice of Booz Allen & Hamilton. In addition to his operating roles, Chris serves in leadership roles in several not-for-profit organizations.  He is a director of Character Lab, a non-profit dedicated to advancing the science and practice of character development in order to help children thrive; a member of the Collections Committee and Director's Circle of the Harvard University Art Museums; and President of the American Friends of the Royal Collection.  He and his wife also actively support the Wallace Collection and the Attingham Trust.   Chris is an active angel investor, having made more than 40 investments in early-stage companies.  He enjoys mentoring, working with a number of technology entrepreneurs and serving as a Strategic Advisor to Forto. Chris earned a bachelor’s degree in Economics from Harvard College and a master’s degree in Philosophy from New York University.   Chris and his wife have three young children and divide their time between London and France. Born and raised in New York, Chris is a dual US/British national.",,,https://www.linkedin.com/in/christophernorth/,Managing Partner,L Catterton,"Investment Partner, Individual/Angel",,"9,922"
Chuck Ursini,https://www.crunchbase.com/person/chuck-ursini,,,"Greater Los Angeles Area, California, United States",Chuck Ursini is the Co-Founder and Board member at System1.,,,https://www.linkedin.com/in/chuck-ursini-17b1661,Co-Founder & Board Member,System1,,,"41,758"
Darr Aley,https://www.crunchbase.com/person/darr-aley,1,,"San Francisco, California, United States",,,,https://www.linkedin.com/in/darr-aley-631769,"CMO, Board Member, Investor",Aidentified,Individual/Angel,,"116,200"
Daryn Nakhuda,https://www.crunchbase.com/person/daryn-nakhuda,1,1,"Seattle, Washington, United States",Daryn Nakhuda is a Senior Director of Software Engineering at Aurora. He attended the University of Washington.,http://twitter.com/daryn,http://www.facebook.com/daryn,http://www.linkedin.com/in/darynnakhuda,Senior Director of Software Engineering,Aurora,Individual/Angel,Seed,"78,057"
Dave Clark,https://www.crunchbase.com/person/dave-clark-7,1,,"Seattle, Washington, United States",,https://twitter.com/davehclark,,https://www.linkedin.com/in/dave-clark-3a82684,CEO Worldwide Consumer,Amazon,Individual/Angel,,"15,644"
Dave Munichiello,https://www.crunchbase.com/person/dave-munichiello,,,"San Francisco, California, United States","Dave is a general partner at GV (formerly Google Ventures) who leads the team's investments in data, platforms, and infrastructure. His investments include Slack, Segment, GitLab, Jet.com (sold to WMT), CoreOS (sold to RedHat), Lattice.io (sold to Apple), SambaNova Systems, and several others. Dave's background prior to investing was in building and leading enterprise software sales and operations teams for highly-technical products, under pressure in rapidly-changing markets. As a senior executive at Kiva Systems, he helped grow the enterprise-enabling robotics and software platform to $120 million in annual revenue before it was purchased by Amazon. Dave’s career prior to Kiva included management consulting for The Boston Consulting Group and leading teams as a Captain in the U.S. military’s most elite units. His military leadership roles ranged from running a high-tech organization in Europe; to serving as an Aide de Camp to the Four Star General responsible for U.S. forces in Europe, Africa, and Afghanistan; to deploying with elite special operations teams worldwide, ensuring they were enabled by the world’s most advanced technologies. Dave is a combat veteran and former paratrooper who holds an MBA from Harvard Business School and a BS from Emory University in math and computer science.",https://twitter.com/davemuni,https://www.facebook.com/davemuni,http://www.linkedin.com/in/davemuni,General Partner,GV,Investment Partner,"Early Stage Venture, Late Stage Venture, Seed","119,111"
Dave Schappell,https://www.crunchbase.com/person/dave-schappell,4,1,"Wolfeboro, New Hampshire, United States","Dave Schappell is a Director of Business Development at Amazon Web Services, focused on the early-stage startup community. Prior to his current role, he was the Founder and CEO of TeachStreet.com, led marketing and product development at JibJab and Unitus, and also worked with Amazon.com from 1998 to 2004, when he led Amazon Marketplace product development, managed the Associates program, and more. He has a B.S. in Accounting from the Pennsylvania State University and attended the MBA program at The Wharton School of Business at the University of Pennsylvania.",http://twitter.com/daveschappell,http://www.facebook.com/daveschappell,http://www.linkedin.com/in/daveschappell,,,Individual/Angel,Seed,"109,539"
Dave Vasen,https://www.crunchbase.com/person/dave-vasen,1,,"San Francisco, California, United States","Dave Vasen is the founder and chief executive officer of [brightwheel](https://www.crunchbase.com/person/dave-vasen#/entity), a mobile platform for early education that serves as the hub for preschools and families. Previously, he was an advisor at Tempo AI. Prior to joining Tempo AI, Vasen leadership roles in the fields of product and business development at AltSchool and Amazon. He holds a bachelor’s degree from Stanford University and an MBA from University of Pennsylvania - The Wharton School.",,,https://www.linkedin.com/in/davevasen?authType=OPENLINK&authToken=XyGx&locale=en_US&srchid=4007544671462351711876&srchindex=1&srchtotal=12&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A4007544671462351711876%2CVSRPtargetId%3A8969863%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3AOPENLINK,Founder & CEO,Brightwheel,Individual/Angel,,"15,625"
David Golden,https://www.crunchbase.com/person/david-golden,1,,"San Francisco, California, United States","David Golden, a native of Minnesota, co-leads Revolution Ventures, which invests in and helps build innovative and impactful companies; and he is based in our San Francisco office. David has over three decades of industry experience and brings to bear his extensive history as a financier of emerging growth companies and understanding of capital markets with his unique abilities in negotiation and deal-structuring. David joined Revolution with Steve Case in 2006 and has since been an investing partner and strategic advisor. David joined Revolution after 18 years with JPMorgan, and a predecessor firm, Hambrecht & Quist. During his tenure, David was named co-director of mergers and acquisitions in 1992, director of mergers and acquisitions in 1995, and co-director of investment banking in 1998. Most recently he was Vice Chairman and Director of JPMorgan’s global investment banking practice for technology, media and telecommunications clients and was a member of the investment bank’s management committee. During these years, he acted as lead merger advisor, equity underwriter or investor on over 150 transactions. From 1990 to 1992, David was a vice president at Allen & Company in New York. In 2010, David helped found Code Advisors, a next-generation investment bank in San Francisco focused on the intersection of strategy and finance for emerging technology companies; and he served as Code’s Executive Chairman through 2012. Early in his career, David was an associate at the law firm of Davis Polk & Wardwell in New York and London, where he practiced corporate finance and securities law. Prior to practicing law, David was a law clerk to the Honorable Charles M. Merrill of the United States Court of Appeals for the Ninth Circuit. David received an A.B. from Harvard University (magna cum laude, Phi Beta Kappa) in 1980 and a J.D. from Harvard Law School (cum laude) in 1983, where he was an editor of the Harvard Law Review. He serves or has served on the boards of many companies including current Revolution companies Aura, SRS Acquiom, Policygenius, Paro, MemberSuite and eSub as well as previously-exited companies including Revolution Money (acquired by American Express), Extend Health (acquired by Willis Towers Watson), and Everyday Health (acquired by j2 Global).  He also serves or has served on the boards of Barnes & Noble Education, Blackbaud, and Barnes & Noble.",,,https://www.linkedin.com/in/david-golden-128b2020,Managing Partner,Revolution Ventures,"Investment Partner, Individual/Angel",Seed,"62,222"
David Nakayama,https://www.crunchbase.com/person/david-nakayama,1,1,"San Francisco, California, United States",,http://twitter.com/dnak,,http://www.linkedin.com/in/davenak,,,Individual/Angel,Seed,"154,205"
